¹;"×ÑÑmin, óä./ìèí.";"×ÑÑmax, óä./ìèí.";"×ÑÑavg, óä./ìèí.";"Ñòðåññ ÍÑ, %";"SDNN, ìñ";"ÈÍ, ó.å.";"Mo, ìñ";"RMSSD, ìñ";"NN50, ïàð";"pNN50, %";"HF, ìñ?/Ãö";"TP, ìñ?/Ãö";"LF, ìñ?/Ãö";"LF/HF, ó.å.";"VLF, ìñ?/Ãö";Äàòà îáñëåäîâàíèÿ
1;72;112;89;"60,6";"56,4";69;680;"34,5";64;"14,3";411;2544;821;2;1313;26.08.2026 9:51
2;66;98;80;72;"64,4";"58,3";760;"34,1";47;"11,9";468;2871;971;"2,07";1432;25.08.2026 9:18
3;58;99;76;"62,6";"94,3";"25,1";720;"49,8";96;"26,2";779;8524;2102;"2,7";5643;24.08.2026 9:04
4;52;92;65;"65,4";"117,6";"19,6";880;"80,1";150;"50,5";2834;13633;3544;"1,25";7255;22.08.2026 9:05
5;64;98;77;"66,9";"65,5";"54,2";760;"38,2";61;"13,6";528;3460;915;"1,73";2017;21.08.2026 10:01
6;54;94;72;"63,5";"108,3";"20,3";800;69;138;"41,4";1897;10874;2469;"1,3";6508;20.08.2026 9:08
7;60;88;71;"77,9";"76,5";"32,6";880;"44,4";95;"26,8";927;4184;970;"1,05";2287;19.08.2026 8:49
8;54;87;67;"63,9";"93,7";"23,9";880;"75,7";141;"43,1";2110;8431;1803;"0,85";4517;18.08.2026 8:51
9;56;93;72;59;"93,9";"24,6";800;"63,7";123;"35,9";1555;8639;2673;"1,72";4411;17.08.2026 8:54
10;58;94;72;"46,6";"93,2";"24,5";800;"55,6";114;33;916;7668;3050;"3,33";3702;15.08.2026 9:07
11;58;98;76;"43,3";"86,7";"30,7";720;"50,6";101;"28,4";812;6304;2665;"3,28";2826;14.08.2026 8:59
12;56;95;71;"54,8";"101,5";"21,4";840;"70,5";142;"41,4";1582;8586;3181;"2,01";3822;13.08.2026 8:43
13;47;83;61;"51,4";"134,2";"14,8";920;"147,6";197;73;7980;16520;3474;"0,44";5066;12.08.2026 8:51
14;54;88;67;"55,7";"99,2";"26,3";840;"93,9";188;"59,7";3826;7925;1853;"0,48";2246;11.08.2026 8:48
